Date,Price,Market_Index,Interest_Rate,Economic_Indicator
2023-01-01,0.24835707650561634,0.0,-0.20061023594291813,0.03916905101953631
2023-01-02,0.3566912310499263,0.0697564737441253,0.11204624090520839,-0.1926745555230064
2023-01-03,1.1573175552019466,0.13917310096006544,0.00629620039089743,0.08765055114289438
2023-01-04,1.9670854327889589,0.20791169081775931,0.04883804927441586,-0.3315167208475681
2023-01-05,1.4092129635931205,0.27563735581699916,-0.38650489192773324,0.21783112746512875
2023-01-06,1.664982329094287,0.3420201433256687,0.012255087129471348,0.1095194964826086
2023-01-07,2.7517194403440026,0.40673664307580015,0.24899914562272474,0.06920594686277513
2023-01-08,2.4427611553130006,0.4694715627858908,0.7255718038975209,0.21753819678910277
2023-01-09,1.8343065977690707,0.5299192642332049,0.47963541304260343,0.3570948888925154
2023-01-10,2.2633930543832896,0.5877852522924731,1.0765912287557782,0.2298740130036261
2023-01-11,1.6003419611626464,0.6427876096865393,-0.38367378144402475,-0.3381748462663291
2023-01-12,1.3634247741696606,0.6946583704589973,0.4361603183603391,-0.2229153933471403
2023-01-13,1.4165516403679634,0.7431448254773942,0.09167100286917587,-0.08896371553913576
2023-01-14,-0.013166836177298857,0.788010753606722,1.0949014666088361,0.04421821004216676
2023-01-15,-0.3066355346209977,0.8290375725550417,-0.40414914267757573,0.14553180409382463
2023-01-16,-0.13114376462048521,0.8660254037844386,-0.41986092109038803,-0.10014876263069313
2023-01-17,-0.76223894180273,0.8987940462991669,-0.2996963227220111,0.08535335289541567
2023-01-18,-0.4863496198539634,0.9271838545667874,-1.0619478621549034,-0.10007658647066452
2023-01-19,-1.4495825423455517,0.9510565162951535,-0.2628775108403805,-0.06830356059838966
2023-01-20,-2.002441501622434,0.9702957262759965,-0.379566330776849,-0.22433221936964448
2023-01-21,-0.7992264231080998,0.984807753012208,0.07519689323810382,-0.12464664922218088
2023-01-22,-1.805001182833575,0.9945218953682733,0.17087798788857972,-0.20733692112326674
2023-01-23,-1.7352796883925847,0.9993908270190958,0.9380854196079431,-0.12917465059546657
2023-01-24,-2.471417883843275,0.9993908270190958,0.4752119190930251,0.2797283593215679
2023-01-25,-1.9343043948528986,0.9945218953682734,-0.28845182783120155,-0.11787977776638862
2023-01-26,-1.426589512713944,0.984807753012208,-0.449207335674179,0.6014764129674781
2023-01-27,-1.8017864396659395,0.9702957262759965,0.24595958575325286,0.17666358017617784
2023-01-28,-0.7177214954121107,0.9510565162951536,-0.6601166035103211,0.11796722473897478
2023-01-29,-0.8337926311110028,0.9271838545667874,0.9157293829271769,-0.08767155603624267
2023-01-30,-0.2716702565321564,0.8987940462991669,0.5897200603606435,0.22706197588179822
2023-01-31,-0.000853306114700747,0.8660254037844387,-0.2345878260523524,-0.0251275652475548
2023-02-01,1.651962473889986,0.8290375725550417,-0.856567264545439,0.11740196292907229
2023-02-02,1.1267246737826324,0.788010753606722,0.6769361870827066,0.6080169076537589
2023-02-03,0.976715040106996,0.7431448254773942,-0.05726992262630894,0.07978802005507003
2023-02-04,2.237562107006383,0.6946583704589971,0.6189081559867309,0.33185466525713514
2023-02-05,1.4716289825833657,0.6427876096865395,-0.7972138293971835,-0.03563528502517749
2023-02-06,2.366544830092685,0.5877852522924732,-0.29968751147688644,0.10100230190060766
2023-02-07,1.3792087287966588,0.529919264233205,0.002621849859091583,0.465160127127102
2023-02-08,1.7049507662873316,0.4694715627858911,0.023490296882371028,-0.011393411557553496
2023-02-09,2.390543650524869,0.40673664307580043,-0.22503273573962182,0.47948971159938575
2023-02-10,2.5012840975665838,0.3420201433256689,0.3114249661737494,0.2615503870910951
2023-02-11,1.9819737915497757,0.27563735581699966,-0.5338102146912972,0.010506644821146466
2023-02-12,1.5377463633908264,0.20791169081775931,-0.07118974251064675,0.2524815478111042
2023-02-13,1.0929214383569577,0.13917310096006574,0.06014781585594943,0.32351088992534593
2023-02-14,0.11656238645180794,0.06975647374412552,0.2572194170293745,0.25636199244343927
2023-02-15,0.09007789580264641,1.2246467991473532e-16,0.3558074390444448,-0.1790449439780913
2023-02-16,-0.18614276711541053,-0.06975647374412483,-0.5623210459189345,-0.007427435164973711
2023-02-17,0.18508782695785714,-0.13917310096006552,-0.7670570853678111,0.09149627288969905
2023-02-18,-0.5237613598007149,-0.20791169081775907,0.6388384109492545,0.12911331417999072
2023-02-19,-1.8778097286361541,-0.275637355816999,0.16615700598979583,0.2711344195101356
2023-02-20,-1.07000882287148,-0.34202014332566866,-0.3742432682782768,0.18554020018665077
2023-02-21,-1.584654172798465,-0.4067366430757998,0.7755759877612615,-0.11406887174202027
2023-02-22,-1.807504790889526,-0.46947156278589086,0.05783731714642933,0.23203957020119265
2023-02-23,-1.1532056463161127,-0.5299192642332048,0.5896485920319132,0.28111714905676466
2023-02-24,-0.846613271342332,-0.587785252292473,0.033759240705054476,0.273958089586208
2023-02-25,-0.7164107480107772,-0.6427876096865393,1.0303739624409936,0.3811561451109244
2023-02-26,-1.3458984125661075,-0.6946583704589974,0.8776704212216022,0.33478443090978083
2023-02-27,-0.7601766925105542,-0.743144825477394,-0.12448207423953675,0.2628360158456874
2023-02-28,-0.06784157044981715,-0.7880107536067221,0.4857854754771777,0.1599668577082706
2023-03-01,0.6619491819256611,-0.8290375725550414,0.3226879747925738,-0.15519218670319823
2023-03-02,0.3604128810773505,-0.8660254037844384,0.6843157787661743,0.2659236438265172
2023-03-03,0.9329938933036079,-0.8987940462991668,-0.48246173029005224,0.22453753743262223
2023-03-04,0.8803057991485832,-0.9271838545667873,0.34302572999921965,0.2403157674390747
2023-03-05,1.2074671925446099,-0.9510565162951535,0.5292122434247939,-0.06634971516406196
2023-03-06,2.532552562151886,-0.9702957262759965,-0.8793697432115571,-0.024211308081652477
2023-03-07,3.060170821854287,-0.984807753012208,-0.5916292563328875,0.4056305706665807
2023-03-08,2.52610797180014,-0.9945218953682734,-1.0196160888800503,0.190088969228669
2023-03-09,3.160810239682559,-0.9993908270190957,-0.13470341722227883,0.33730013947452486
2023-03-10,2.8498618032603638,-0.9993908270190958,0.35877112789798105,0.2096636752260919
2023-03-11,2.2695531552877455,-0.9945218953682734,0.751178526048014,0.21295122789914867
2023-03-12,2.6127486103230857,-0.9848077530122081,0.03704739020988759,0.39765676119519955
2023-03-13,2.965307934187773,-0.9702957262759966,0.8143077727856459,0.10979105435652521
2023-03-14,1.8776574850299714,-0.9510565162951536,-0.6900507291074457,0.2352241553881967
